iter	Passed	Remaining
0	106	106154
1	107	53708
2	109	36292
3	110	27565
4	112	22337
5	113	18838
6	115	16391
7	117	14596
8	119	13140
9	121	11980
10	122	11049
11	124	10249
12	126	9573
13	127	8990
14	129	8488
15	131	8103
16	133	7721
17	135	7370
18	136	7063
19	138	6778
20	140	6528
21	141	6291
22	143	6080
23	145	5897
24	148	5775
25	150	5623
26	152	5490
27	154	5346
28	155	5207
29	157	5082
30	158	4969
31	160	4860
32	162	4754
33	163	4652
34	165	4556
35	167	4489
36	169	4417
37	171	4337
38	173	4266
39	176	4234
40	178	4169
41	180	4111
42	182	4059
43	184	4006
44	186	3962
45	189	3937
46	191	3890
47	194	3851
48	196	3811
49	198	3766
50	200	3726
51	202	3689
52	204	3646
53	207	3630
54	209	3593
55	210	3552
56	212	3520
57	214	3477
58	215	3432
59	216	3397
60	219	3377
61	220	3340
62	222	3301
63	223	3263
64	224	3229
65	225	3195
66	227	3162
67	228	3128
68	229	3095
69	231	3076
70	233	3059
71	235	3032
72	236	3003
73	237	2975
74	238	2946
75	240	2919
76	241	2891
77	242	2864
78	243	2838
79	244	2812
80	246	2792
81	248	2780
82	249	2754
83	250	2731
84	251	2710
85	252	2688
86	254	2667
87	255	2646
88	256	2627
89	257	2607
90	259	2587
91	260	2570
92	263	2571
93	265	2555
94	266	2536
95	267	2520
96	268	2503
97	270	2487
98	271	2469
99	272	2452
100	273	2434
101	274	2418
102	276	2406
103	278	2402
104	280	2387
105	281	2374
106	282	2359
107	283	2345
108	285	2330
109	286	2317
110	287	2303
111	288	2289
112	289	2276
113	291	2266
114	294	2262
115	295	2249
116	296	2234
117	297	2221
118	298	2207
119	299	2195
120	300	2183
121	301	2169
122	302	2156
123	303	2144
124	304	2132
125	306	2124
126	308	2117
127	310	2118
128	312	2110
129	314	2101
130	315	2091
131	316	2080
132	317	2069
133	318	2060
134	319	2050
135	321	2040
136	323	2038
137	324	2029
138	326	2021
139	327	2012
140	328	2003
141	329	1991
142	330	1982
143	332	1974
144	333	1966
145	334	1957
146	336	1949
147	337	1944
148	338	1935
149	339	1926
150	341	1917
151	342	1909
152	343	1901
153	344	1893
154	345	1885
155	346	1876
156	347	1868
157	348	1859
158	350	1852
159	352	1848
160	352	1839
161	354	1831
162	355	1823
163	356	1816
164	357	1808
165	358	1800
166	359	1793
167	360	1785
168	361	1778
169	362	1771
170	363	1764
171	365	1757
172	366	1752
173	368	1748
174	369	1743
175	371	1737
176	372	1732
177	373	1726
178	375	1722
179	376	1716
180	378	1710
181	379	1704
182	380	1700
183	382	1696
184	383	1691
185	385	1686
186	386	1680
187	388	1675
188	389	1670
189	390	1665
190	391	1659
191	393	1653
192	394	1649
193	396	1645
194	397	1642
195	399	1638
196	400	1633
197	401	1628
198	403	1623
199	404	1617
200	405	1613
201	407	1608
202	408	1603
203	409	1599
204	412	1599
205	413	1594
206	414	1589
207	416	1585
208	417	1580
209	419	1577
210	420	1572
211	421	1568
212	423	1563
213	424	1560
214	426	1557
215	428	1553
216	429	1549
217	430	1544
218	431	1539
219	432	1534
220	434	1530
221	435	1525
222	436	1521
223	437	1517
224	439	1512
225	441	1510
226	442	1508
227	444	1504
228	445	1501
229	447	1496
230	448	1492
231	449	1488
232	451	1485
233	452	1480
234	453	1476
235	455	1473
236	457	1473
237	458	1469
238	460	1464
239	461	1460
240	462	1457
241	463	1452
242	464	1448
243	466	1444
244	467	1439
245	468	1437
246	470	1434
247	472	1432
248	473	1428
249	474	1424
250	476	1421
251	477	1417
252	478	1413
253	479	1409
254	481	1406
255	482	1402
256	484	1399
257	486	1399
258	488	1397
259	489	1393
260	490	1389
261	491	1385
262	493	1381
263	494	1378
264	495	1375
265	496	1371
266	498	1367
267	499	1363
268	500	1361
269	502	1358
270	503	1354
271	504	1351
272	506	1347
273	507	1344
274	508	1341
275	510	1338
276	511	1335
277	513	1333
278	515	1332
279	517	1330
280	518	1327
281	520	1323
282	521	1321
283	522	1317
284	524	1314
285	525	1311
286	526	1308
287	527	1305
288	529	1302
289	531	1300
290	532	1297
291	533	1293
292	534	1290
293	535	1286
294	536	1283
295	538	1279
296	539	1276
297	540	1272
298	541	1269
299	542	1265
300	543	1262
301	544	1259
302	546	1257
303	547	1253
304	548	1250
305	550	1247
306	551	1244
307	552	1240
308	553	1237
309	554	1233
310	555	1231
311	557	1228
312	558	1225
313	559	1223
314	561	1222
315	563	1218
316	564	1216
317	565	1212
318	566	1209
319	567	1206
320	568	1203
321	569	1199
322	570	1196
323	571	1192
324	572	1189
325	574	1186
326	575	1185
327	577	1183
328	578	1180
329	580	1177
330	581	1175
331	582	1172
332	584	1170
333	585	1167
334	586	1164
335	587	1160
336	588	1157
337	589	1154
338	591	1153
339	592	1150
340	594	1148
341	595	1145
342	596	1142
343	597	1139
344	598	1136
345	599	1133
346	600	1130
347	601	1127
348	602	1124
349	603	1121
350	605	1120
351	607	1117
352	608	1114
353	609	1111
354	610	1109
355	611	1106
356	612	1103
357	613	1100
358	614	1097
359	615	1094
360	616	1092
361	617	1089
362	619	1087
363	622	1086
364	623	1084
365	624	1081
366	625	1079
367	626	1076
368	627	1073
369	628	1070
370	629	1067
371	630	1065
372	632	1062
373	633	1059
374	634	1057
375	636	1056
376	637	1054
377	639	1051
378	640	1049
379	641	1046
380	642	1044
381	643	1041
382	644	1038
383	645	1035
384	646	1033
385	648	1030
386	649	1028
387	651	1026
388	652	1024
389	653	1022
390	654	1019
391	655	1016
392	656	1014
393	657	1011
394	658	1008
395	659	1006
396	660	1003
397	661	1000
398	662	998
399	664	996
400	666	995
401	667	993
402	669	991
403	670	988
404	671	986
405	672	984
406	673	981
407	674	979
408	675	976
409	676	973
410	677	971
411	679	969
412	681	969
413	683	967
414	684	964
415	685	962
416	687	960
417	688	958
418	689	956
419	690	954
420	692	951
421	693	949
422	694	947
423	696	946
424	697	944
425	699	941
426	700	939
427	701	937
428	702	935
429	704	933
430	705	931
431	706	929
432	707	926
433	709	925
434	711	924
435	712	921
436	713	919
437	715	917
438	716	915
439	717	912
440	718	910
441	719	908
442	720	906
443	721	903
444	722	901
445	724	900
446	726	898
447	727	895
448	728	893
449	729	891
450	730	889
451	731	886
